,price_reduced_amount,Year Built,Sold Price,Lot SqFt,Baths,Beds,Garage,Type,Tags Count,list_season,sold_season,Region
0,0.0,2001.0,345.0,22651.0,2.0,3.0,2.0,single_family,17,Fall,Winter,Northeast
1,0.0,1900.0,196.0,2614.0,2.960835509138381,3.0,3.0,multi_family,8,Fall,Winter,Northeast
2,0.0,1971.0,205.0,13504.0,2.0,3.0,1.95156591405681,single_family,12,Winter,Winter,Northeast
3,0.0,2013.0,295.0,2688.0,3.0,3.0,1.0,townhomes,11,Fall,Winter,Northeast
4,0.0,1900.0,106.0,871.0,2.960835509138381,3.0,2.567741935483871,multi_family,3,Fall,Winter,Northeast
5,0.0,1900.0,10.0,871.0,6.0,5.0,1.4848484848484849,townhomes,3,Fall,Winter,Northeast
6,2000.0,1900.0,71.5,871.0,1.0,4.0,1.4848484848484849,townhomes,6,Fall,Winter,Northeast
7,2100.0,1940.0,100.0,3920.0,1.0,2.0,1.95156591405681,single_family,8,Fall,Winter,Northeast
8,0.0,1957.0,208.0,8712.0,1.0,3.0,1.95156591405681,single_family,9,Winter,Winter,Northeast
10,0.0,2019.0,346.0,2370.0,3.0,3.0,2.0,townhomes,13,Winter,Winter,Northeast
12,0.0,1938.0,195.0,13504.0,1.0,4.0,1.95156591405681,single_family,7,Fall,Winter,Northeast
13,0.0,1965.0,270.0,8276.0,2.0,3.0,1.95156591405681,single_family,10,Winter,Winter,Northeast
14,13000.0,2005.0,180.0,6348.275229357798,3.0,3.0,1.5060240963855422,condos,9,Fall,Winter,Northeast
16,0.0,1928.0,58.0,2178.0,1.0,2.0,1.4848484848484849,townhomes,3,Winter,Winter,Northeast
17,0.0,1986.0,275.0,9148.0,3.0,3.0,1.0,single_family,7,Summer,Winter,Northeast
18,0.0,2005.0,242.0,6348.275229357798,2.0,2.0,1.0,condos,10,Fall,Winter,Northeast
19,0.0,1994.0,241.5,2178.0,3.0,3.0,1.0,townhomes,7,Fall,Winter,Northeast
20,0.0,2003.0,350.0,13504.0,3.0,3.0,2.0,single_family,8,Fall,Winter,Northeast
21,0.0,1904.0,274.5,1307.0,2.960835509138381,3.0,2.567741935483871,multi_family,3,Winter,Winter,Northeast
22,0.0,1953.0,107.0,871.0,1.0,3.0,1.0,townhomes,6,Winter,Winter,Northeast
23,15000.0,1958.0,237.0,6098.0,2.0,3.0,1.95156591405681,single_family,7,Fall,Winter,Northeast
24,22501.0,1920.0,305.0,16553.0,2.0,4.0,1.95156591405681,single_family,16,Fall,Winter,Northeast
25,10000.0,1999.0,229.0,3920.0,2.0,2.0,2.0,condos,9,Fall,Winter,Northeast
26,0.0,1927.0,225.0,3049.0,2.960835509138381,4.0,2.567741935483871,multi_family,3,Summer,Winter,Northeast
27,0.0,1913.0,200.0,2178.0,2.960835509138381,4.0,2.567741935483871,multi_family,1,Fall,Winter,Northeast
28,0.0,1900.0,30.0,1742.0,2.960835509138381,3.0,1.0,multi_family,3,Fall,Winter,Northeast
29,0.0,2009.0,427.9,13504.0,3.0,3.0,2.0,single_family,15,Winter,Winter,Northeast
30,0.0,1913.0,200.0,2178.0,2.960835509138381,4.0,2.567741935483871,multi_family,1,Fall,Winter,Northeast
31,0.0,1900.0,225.0,1307.0,2.960835509138381,4.0,2.567741935483871,multi_family,2,Fall,Winter,Northeast
32,7000.0,1951.0,225.0,10454.0,1.0,2.0,1.95156591405681,single_family,6,Fall,Winter,Northeast
33,45100.0,1955.0,283.0,12632.0,2.0,3.0,1.95156591405681,single_family,15,Summer,Winter,Northeast
34,0.0,1948.0,266.9,11853.0,2.0,3.0,1.95156591405681,single_family,14,Fall,Winter,Northeast
35,0.0,2023.0,497.9,15246.0,3.0,3.0,2.0,single_family,14,Fall,Winter,Northeast
36,10000.0,1987.0,260.0,3049.0,3.0,2.0,2.0,single_family,11,Fall,Winter,Northeast
37,0.0,1988.0,229.995,3920.0,3.0,3.0,2.0,single_family,9,Fall,Winter,Northeast
39,0.0,1995.0,465.0,9583.0,3.0,3.0,2.0,single_family,13,Fall,Winter,Northeast
40,0.0,1900.0,230.0,1742.0,3.0,3.0,1.4848484848484849,townhomes,11,Fall,Winter,Northeast
41,0.0,1923.0,122.5,2178.0,1.0,3.0,1.4848484848484849,townhomes,9,Fall,Winter,Northeast
105,2600.0,1967.0,360.0,12480.0,2.0,4.0,1.95156591405681,single_family,14,Fall,Winter,South
